"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CHRNB2",3.0889329577931,3.28682485048671,1.03902518458809,3.16337361138145,0.00155952050969059,0.00687783422229039
"RAB13",4.46607159001071,4.07972650123465,1.00219573197957,4.07078814153022,4.68543468654818e-05,0.000315501172746883
"LCE1E",13.0371523640093,5.41123906301672,0.839707976704168,6.44419156794925,1.16218216641903e-10,2.17676562079354e-09
"RBM20",20.1081330457746,4.03159171482647,0.488166250676045,8.25864489657623,1.47335536002911e-16,5.46725736286072e-15
"NEURL1",7.24286461717395,4.23456977541457,0.902670906589151,4.69115570747194,2.71666118464678e-06,2.42880770679172e-05
"NEURL1B",29.7065100428791,4.5886358106023,0.452006231516398,10.1517091815488,3.25610153442576e-24,2.35325788383315e-22
"INA",2.31754894714,4.00054096741479,1.13981356614327,3.50982045331434,0.00044840937039892,0.00234997834054164
"AMIGO1",4.96651581784991,3.27387955046591,0.913586176969352,3.58354759846124,0.000338958961641394,0.00183633811087041
"TNFRSF6B",9.85264038860386,5.36460159937333,1.30741725550928,4.10320544322603,4.07465123491491e-05,0.000278172530399434
"COX7A2",10.3621485958042,4.0051119480988,0.965496345308684,4.14824143826076,3.35038960471236e-05,0.000232756809780822
"DDX43",3.92155495982528,4.21973826007879,1.09190196651489,3.86457611533319,0.00011128228493587,0.00068212285135646
"PASD1",15.3283303465441,6.15062992966149,0.84077972372421,7.31538803340481,2.56638693500088e-13,6.59709594986075e-12
"OOEP",1.89112508116026,4.37396715431272,1.23450160159026,3.54310366926886,0.000395447215480359,0.00211007087842709
"FMR1NB",8.62149414765118,6.00253487779845,0.929420953700162,6.45835974958545,1.05843890592438e-10,1.98514818714405e-09
"RTL8A",2.99426603674877,4.27513549974308,1.14492207269271,3.73399692582439,0.000188464794779589,0.00109309580972162
"TENM1",2.87670041002177,4.42948450846617,1.37491728390492,3.22163708342217,0.00127460472005895,0.00577820806426725
"ZBP1",3.35013936927554,5.17556792377623,1.67480328908411,3.09025421523179,0.00199985246541056,0.00853352810897291
"RHOXF2",6.17753789525353,6.08229335045354,1.01060263354978,6.01848159556964,1.7606072667134e-09,2.74126277448577e-08
"RHOXF2B",24.0815129193584,7.03206866413005,0.902508309469546,7.79169409339088,6.6116650652525e-15,2.04635481077905e-13
"DMRTB1",40.1258469206862,8.65474764468421,0.854159050085878,10.1324778374871,3.96472984515293e-24,2.82108921559232e-22
"IFIT1",189.362646281651,3.15595632563897,0.405636112009775,7.78026470572945,7.23729549833993e-15,2.22502510153863e-13
"IFIT3",24.4944861248273,7.95794628735944,1.02240556479207,7.78355142166884,7.05164717207197e-15,2.17278878489467e-13
"PREX1",26.9845320833921,3.13681722484861,0.844545056423694,3.71420944446915,0.000203839921841929,0.00117241928379416
"UCK1",4.11238695945722,5.49027201393227,1.49613335147481,3.66964081678966,0.00024289151058268,0.00136740392009923
"TIE1",3.89917946636112,5.34261853076066,1.02578626630058,5.20831551978992,1.90562684213565e-07,2.09270269919176e-06
"SDC4",6.04476934919711,3.05026465133146,0.913980953093609,3.33733940626118,0.000845845873659156,0.0040513728105451
"RPA4",8.66025917536034,3.62362274701476,0.64242741248829,5.64051700873025,1.69540319489872e-08,2.26337966173907e-07
"NKAIN1",12.71010066481,3.55857093309471,0.536018608020822,6.63889439628647,3.1604471569054e-11,6.25025967821235e-10
"PAGE2B",2.39595062667729,4.17715484283482,1.07921734737933,3.87054086276341,0.000108594151675365,0.000665941212672917
"UBXN10",2.63831615695271,3.30858465053475,1.03103925507157,3.20898029270969,0.00133206622026816,0.00599528605190248
"TBXA2R",4.08234944760108,3.77049203346651,1.13949042479185,3.30892822917337,0.000936538414693384,0.00443194250134641
"IRS2",4.39628066783447,3.24801542499548,0.845478362089065,3.84163045517814,0.000122219749504387,0.000740615198489271
"TNFRSF1B",21.1123349489942,4.0912818343238,1.09211859433264,3.74618823958755,0.000179541887633357,0.00104883462416033
"SSX1",12.9918852855026,5.2199149023218,0.812821048678931,6.42197309088596,1.345192059262e-10,2.48914627158884e-09
"CST3",4.66995592791361,5.33120214942576,1.0413326970622,5.11959546114905,3.06191749725459e-07,3.22893117892302e-06
"SPDYC",19.9363340679043,5.06651186493952,0.641232405674872,7.90120995149523,2.76208951377523e-15,8.8394556692407e-14
"CA6",6.81016480657753,6.10305055732171,1.06393212972885,5.73631567915624,9.67582427455347e-09,1.35461539843749e-07
"PCDH9",47.8418775084176,6.34025834066795,0.580822142399139,10.9160066013994,9.66526021206177e-28,9.01481432211491e-26
"PPP1R2C",1.56516678597594,4.09990956949497,1.3108408660196,3.12769434931063,0.00176183295099381,0.0076527193377969
"CA9",823.349557445209,-4.06544467144996,0.518190362249596,-7.84546561962448,4.31350010532519e-15,1.36255275638235e-13
"SOWAHA",2.99450264166705,4.36571094191642,1.04422438116878,4.18081690166051,2.90463689624036e-05,0.000204778384656292
"CFAP96",4.20945793009167,-3.24872591812811,1.03128831270466,-3.15016264424445,0.00163179591836235,0.00714862293147376
"CHGB",18.9246454131482,3.40731087918347,0.475742441969982,7.16209145661732,7.94553813680727e-13,1.93439521059061e-11
"MAGEB2",32.2006315329941,7.23546444393816,0.837631952935607,8.63799956362742,5.72058363811534e-18,2.42229866688786e-16
"MAGEB6",9.88921549419771,6.19052083492357,0.936057137283286,6.61340060168794,3.75590227092697e-11,7.35410992168453e-10
"TNFRSF4",5.15730229339218,5.72553982881132,1.07439273626651,5.32909394818458,9.87039321752291e-08,1.13885001768592e-06
"PIR",3.72135829909715,4.82545071578565,1.08364514332638,4.45298052180934,8.4686439680975e-06,6.80449134665995e-05
"CYS1",14.9354703539621,6.26222948343536,0.863996801695555,7.24797762115093,4.23040486134067e-13,1.06953312648254e-11
"PLIN5",13.6166398587808,3.03921498261557,0.482278664443132,6.30178195032706,2.94242926372665e-10,5.1741775231188e-09
"RSAD2",97.8816858793231,4.02111891273907,0.320574239588251,12.543487330435,4.31576869870543e-36,7.73699624895191e-34
"SACS",66.1095194372875,5.61982242972865,0.928558121380399,6.05220319582602,1.42878085053154e-09,2.26699894951004e-08
"FSCN1",80.9987876196722,3.06608439253354,0.446914614949298,6.86055969076193,6.85912752309751e-12,1.47023907342916e-10
"KRT18",15.3578732080947,3.93224770935409,0.788771939000533,4.98527839914883,6.18726572668163e-07,6.21156480662642e-06
"MRGPRE",12.8344625638108,6.35931665954055,1.08011099097716,5.88765109573357,3.91722993270484e-09,5.74638065792323e-08
"IGHG2",1.82345983402576,4.1811379278749,1.25058068804831,3.34335718425343,0.000827712864755848,0.0039755561534759
