SRR23199438	SRR23199439	SRR23199440	SRR23199441	SRR23199442	SRR23199443	SRR23199444	SRR23199445	SRR23199446	SRR23199447	SRR23199448	SRR23199449
295.505	340.199	335.657	352.866	320.437	288.615	273.732	282.616	269.862	256.461	241.822	219.387
3524.58	4406.39	4112.56	5382.19	7300.27	4496.65	4368.93	4082.49	4105.38	5122.04	5097.33	5064.13
1123.63	1217.05	1141.36	1249.81	1439.31	966.639	851.14	1122.63	904.215	1106.16	1142.94	961.311
255.344	177.377	192.426	205.867	113.866	164.593	162.44	132.817	143.51	103.239	109.711	81.6156
0	0	0	3.36166e-08	0	0	0	0	2.52969e-08	3.55607e-08	3.0329e-08	4.32714e-07
24.6484	25	24.7212	0	4.10762	6.16819	17	37	14.4194	4.11607	4.11681	6.17586
101.594	105	104	75.4554	87	84.853	52	74	66	96.616	98.1215	97
236	271.171	256	477.24	415	391.536	321.493	315.045	293.429	407.946	378.541	393
0	0	7.05265	4.40221	10.8646	0	2.68817	0	0	0	0	0
205.625	228.897	190.99	91.1938	82.9768	56.1394	127.355	145.877	121.753	44.7695	88.6908	59.2309
1899.05	2089.69	2083.51	1426.92	1769.81	1393.79	1899.4	1841.09	1640.57	1907.58	1936.72	1982.14
663.316	732.583	600.492	452.175	378.368	491.744	746.197	753.948	793.614	705.434	618.015	596.875
0	0	0	0	0	0	0	0	0	0	0	0
164.856	493.626	522.17	690.837	855.872	913.581	425.579	372.557	402.903	235.354	673.924	346.817
2696.84	2829.16	2683.49	5580.35	6099.15	6066.84	3797.76	3712.35	3500.21	5918.35	6105.3	6041.79
0	0	8.10309	0	0	0	0	0	0	0	0	0
7	6	3	0	0	0	0	0	3	2	1	0
126.426	125.255	0.0270766	66.4237	67.1651	104.376	54.4587	4.77769e-08	29.6172	0.0230571	156.187	1.45661e-06
3825.31	4077.46	4082.13	3005.98	3730.66	2891.13	3330.47	3109.84	3164.34	3234.49	3282.87	3107.19
109.306	2.29534	47.1696	65.864	1.67962	0.00154147	0.178524	31.9723	6.90873	0	0	10.851
7	1	7	2	2.56885	1	1	5	2	0	1.28825	0
110.083	107.716	116.95	157.038	195.528	214.821	189.75	119.203	128.975	135.782	197.311	155.51
0	0	0	0	0	0	0	0	0	0	0	0
1246.99	1606.24	1518.89	1326.56	1558.87	1511.96	1514.34	1395.61	1313.68	1798.51	1696.35	1781.52
414.253	366.836	439.985	214.156	183.11	224.981	185.185	223.777	186.442	168.068	150.733	149.331
0	0	0	0	0	0	0	0	0	0	0	0
4.73385	6.82731	10.126	6.78995	6.38709	3.89837	12.156	11.2667	6.84318	5.65116	8.34151	2.28294
0	0	0	0	0	0	0	0	0	0	0	0
30.6032	0	7.69133	0	0	0	30.6038	15.3588	0	0	0	7.68639
183.389	176.447	144.916	203.951	134.093	179.671	162.514	161.429	204.208	161.879	120.222	146.985
0	0	0	0	0	0	1	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
2183.89	2315.05	2189	1763	1687	1742.77	376	361	311	220	205	238.003
4.02433	0	5.00339	0	0	0	1.00357	4.01572	0	0	1.00226	2.00412
2	2.73712	0	1	1	2	0	0	0	0	0	0
1216.58	1326.75	1257.99	1904.52	2059.47	1771.85	1398.31	1246.32	1416.47	2340.53	2234.22	2093.96
149.914	201.112	162.952	58.6062	102.848	98.6781	173.634	189.292	154.937	138.093	119.084	168.31
236.864	203.1	269.506	222.444	183.53	243.381	258.801	235.886	212.082	98.2753	172.942	137.077
0	0	0	0	0	1	0	0	0	0	2	0
3879.25	4504.32	4181.87	3473.15	3763.06	3668.6	4452.09	4032.31	4114.83	4105.26	3974.49	4232.11
23.8464	27.631	20.8377	16.0379	20.622	52.6582	25.1721	39.3135	9.92794	17.0263	32.6871	19.584
0	0.120829	0	1.27454	0	0	0	5.29714	0	0	0	0
157.89	133.89	141.266	76.4772	84.4635	79.5832	197.852	225.925	241.803	237.979	210.131	232.798
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	9.94586	0.000422904	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
5.03471	0	4.88165	10.1422	0	13.7539	28.1026	5.62325	0.509965	16.0739	5.4674	0.848225
56.7946	96.2837	184.553	127.105	136.773	47.6856	152.081	29.069	64.7258	104.416	77.9927	37.929
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	1.46281e-08	0	0.000102935	0.0081467	1.99013	0	0	0	0.0695827	0.001517
0	0	0	0	0	0	0	0	0	0	0	0
4	3	3	0	0	0	2.32382	1	0	0	0	0
6.47863	2.98045	4.50057	2.96749	5.83668	0	1.37352	2.97947	6.43786	1.41974	1.79865	1.24447
0	0	3.78053	0	0	0	0	0.527218	0	1.32043	0	0
22.2072	0	0	0	0	0	19.4489	22.8198	0	0	0	0
15.5498	33.2359	34.7165	22.0629	20.8333	46.9379	9.60681	29.6155	31.0185	13.3711	37.2375	10.3018
4.48486	10	9	5.27106	4.4836	14	4.53199	8	4	3	4.50914	4
1235.34	1215.76	1168.74	1184.21	1167.15	1113.33	1309.64	1264.67	1210.24	1151.46	1269.41	1251.47
260.65	211.607	204.132	209.225	146.415	166.456	233.917	240.429	247.829	143.477	135.89	121.972
6.01994	7.05731	1.01039	2.0008	0	4.03848	6.00593	12.2161	9.18749	7.15006	9.00141	7.00082
469.957	605.008	586.482	175.546	175.612	133.263	204.334	162.587	217.195	60.9219	65.0211	73.665
0	0	0	0	0	0	0	0	0	0	0	0
330.489	359.567	342.765	458.133	532.497	473.835	341.433	364.429	366.267	435.983	479.317	427.249
0	0	1.00114	1.00019	0	0	0	1.00048	0	0	0	0
4.08214	0	8	0	0	0	3	0	1.39537	1.39423	0	0
16.8344	21.0725	25.2867	4.22313	8.06138	2.10398	2.10933	4.21793	14.7345	3.4342	2.10457	4.20766
389.4	468.153	457.271	618.616	562.644	559.861	461.543	407.288	446.717	546.687	410.458	386.699
165.546	184.793	161.541	153.83	163.928	157.135	170.823	188	177.043	145	142	140.699
16.6344	0	9.34764	12.9624	0	8.42577	0	0	27.6837	22.6272	10.6321	7.62473
